Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
12,Melanoma of skin,11200,Belarus,1,0,2000,2.569561946,3.177200064,0.3306979765,146
12,Melanoma of skin,11200,Belarus,1,0,2001,2.582796912,3.300858136,0.3203927999,151
12,Melanoma of skin,11200,Belarus,1,0,2002,2.609352072,3.320545203,0.3198019086,151
12,Melanoma of skin,11200,Belarus,1,0,2003,2.699418657,3.316987338,0.3248238799,149
12,Melanoma of skin,11200,Belarus,1,0,2004,3.623803199,4.510707207,0.4243214133,201
12,Melanoma of skin,11200,Belarus,1,0,2005,3.110419078,3.935707726,0.3811823714,174
12,Melanoma of skin,11200,Belarus,1,0,2006,3.043069651,3.871294488,0.3621857346,170
12,Melanoma of skin,11200,Belarus,1,0,2007,3.707544971,4.804859772,0.4702098791,210
12,Melanoma of skin,11200,Belarus,1,0,2008,3.865739873,4.890165479,0.472344617,209
12,Melanoma of skin,11200,Belarus,1,0,2009,3.928624185,5.066571465,0.479231741,216
12,Melanoma of skin,11200,Belarus,1,0,2010,3.604157265,4.818712966,0.428425384,205
12,Melanoma of skin,11200,Belarus,1,0,2011,4.539494904,5.894189861,0.6024359276,250
12,Melanoma of skin,11200,Belarus,1,0,2012,3.674701679,4.938319445,0.4664658822,209
12,Melanoma of skin,11200,Belarus,2,0,2000,3.166133925,4.547063408,0.3607035646,227
12,Melanoma of skin,11200,Belarus,2,0,2001,3.725122736,5.358965035,0.4138475559,266
12,Melanoma of skin,11200,Belarus,2,0,2002,3.743277042,5.435867313,0.4329340639,268
12,Melanoma of skin,11200,Belarus,2,0,2003,4.110576407,5.82534707,0.4537109011,284
12,Melanoma of skin,11200,Belarus,2,0,2004,4.137865123,6.180053268,0.4783775404,299
12,Melanoma of skin,11200,Belarus,2,0,2005,3.982620813,5.768183574,0.4463894527,277
12,Melanoma of skin,11200,Belarus,2,0,2006,4.41554483,6.621557654,0.5167232161,316
12,Melanoma of skin,11200,Belarus,2,0,2007,4.579013546,6.779769505,0.5053789947,322
12,Melanoma of skin,11200,Belarus,2,0,2008,4.713159511,7.092140837,0.5454652359,331
12,Melanoma of skin,11200,Belarus,2,0,2009,4.217122215,6.615330556,0.5007445225,308
12,Melanoma of skin,11200,Belarus,2,0,2010,5.015589116,7.793440248,0.5753243589,362
12,Melanoma of skin,11200,Belarus,2,0,2011,5.28606165,7.971911219,0.6130008287,369
12,Melanoma of skin,11200,Belarus,2,0,2012,4.40346589,6.74104357,0.5037130777,311
12,Melanoma of skin,12400,Canada,1,0,2000,9.773905851,12.31287838,1.2142867,1362
12,Melanoma of skin,12400,Canada,1,0,2001,10.01513811,12.75699585,1.251210936,1428
12,Melanoma of skin,12400,Canada,1,0,2002,9.709704368,12.48519928,1.210785053,1410
12,Melanoma of skin,12400,Canada,1,0,2003,10.3308779,13.4307876,1.287501054,1530
12,Melanoma of skin,12400,Canada,1,0,2004,9.633616916,12.85922748,1.211387222,1478
12,Melanoma of skin,12400,Canada,1,0,2005,9.937676049,13.33459525,1.257747364,1547
12,Melanoma of skin,12400,Canada,1,0,2006,10.57471151,14.42214805,1.360952096,1690
12,Melanoma of skin,12400,Canada,1,0,2007,10.04032053,13.91438147,1.28354295,1648
12,Melanoma of skin,12400,Canada,1,0,2008,10.77455134,15.00632857,1.397917295,1795
12,Melanoma of skin,12400,Canada,1,0,2009,10.96679247,15.67459345,1.422829191,1894
12,Melanoma of skin,12400,Canada,1,0,2010,10.41278307,15.10997871,1.356718165,1846
12,Melanoma of skin,12400,Canada,1,0,2011,10.79992708,15.8199556,1.403664283,1950
12,Melanoma of skin,12400,Canada,1,0,2012,10.45248681,15.60388061,1.351781831,1945
12,Melanoma of skin,12400,Canada,2,0,2000,8.815394906,11.35545766,0.9481179128,1245
12,Melanoma of skin,12400,Canada,2,0,2001,8.879905032,11.63196359,0.9735846397,1290
12,Melanoma of skin,12400,Canada,2,0,2002,8.787462312,11.59824744,0.9617167384,1297
12,Melanoma of skin,12400,Canada,2,0,2003,8.713624645,11.43872567,0.9333693447,1290
12,Melanoma of skin,12400,Canada,2,0,2004,8.925518807,12.01627045,0.9684894778,1368
12,Melanoma of skin,12400,Canada,2,0,2005,9.061554357,12.31980437,0.982086134,1416
12,Melanoma of skin,12400,Canada,2,0,2006,9.622084276,13.10049987,1.050085368,1521
12,Melanoma of skin,12400,Canada,2,0,2007,9.756338755,13.58640331,1.079540697,1595
12,Melanoma of skin,12400,Canada,2,0,2008,9.672448704,13.5829074,1.107316511,1613
12,Melanoma of skin,12400,Canada,2,0,2009,10.2509942,14.47723287,1.160294777,1739
12,Melanoma of skin,12400,Canada,2,0,2010,9.680477224,13.71413265,1.067052697,1667
12,Melanoma of skin,12400,Canada,2,0,2011,10.43049097,15.03193614,1.179906359,1845
12,Melanoma of skin,12400,Canada,2,0,2012,9.830409195,14.43533189,1.117938413,1791
12,Melanoma of skin,15200,Chile,1,0,2000,1.378637595,1.127452915,0.1534184602,2
12,Melanoma of skin,15200,Chile,1,0,2001,1.898303579,1.684191616,0.2175698084,3
12,Melanoma of skin,15200,Chile,1,0,2002,2.271590565,2.236473529,0.3281341497,4
12,Melanoma of skin,15200,Chile,1,0,2003,1.575671706,1.670220525,0.1467631325,3
12,Melanoma of skin,15200,Chile,1,0,2004,2.504452516,2.772463889,0.2394695546,5
12,Melanoma of skin,15200,Chile,1,0,2005,2.14535905,2.208858628,0.3295663427,4
12,Melanoma of skin,15200,Chile,1,0,2006,5.329830523,5.507184122,0.8035757097,10
12,Melanoma of skin,15200,Chile,1,0,2007,2.164220099,2.197427911,0.2686688298,4
12,Melanoma of skin,15200,Chile,1,0,2008,2.745377852,3.292596597,0.3219257816,6
12,Melanoma of skin,15200,Chile,1,0,2009,3.086475788,3.285115143,0.3563249294,6
12,Melanoma of skin,15200,Chile,1,0,2010,4.097805279,4.369650592,0.502639154,8
12,Melanoma of skin,15200,Chile,1,0,2011,1.907047558,2.183263105,0.2941356835,4
12,Melanoma of skin,15200,Chile,1,0,2012,1.451663201,1.635929371,0.1974961819,3
12,Melanoma of skin,15200,Chile,2,0,2000,2.703958479,2.865428038,0.257505093,5
12,Melanoma of skin,15200,Chile,2,0,2001,5.641298143,5.703530485,0.8048228716,10
12,Melanoma of skin,15200,Chile,2,0,2002,3.7110137,3.973412196,0.3498867465,7
12,Melanoma of skin,15200,Chile,2,0,2003,2.082821637,2.259759336,0.2441309954,4
12,Melanoma of skin,15200,Chile,2,0,2004,1.42224967,1.686833701,0.1367043698,3
12,Melanoma of skin,15200,Chile,2,0,2005,1.985578931,2.238463519,0.2099615298,4
12,Melanoma of skin,15200,Chile,2,0,2006,1.867942976,2.23086061,0.2986917255,4
12,Melanoma of skin,15200,Chile,2,0,2007,2.351730457,2.779151914,0.2509439216,5
12,Melanoma of skin,15200,Chile,2,0,2008,3.315661272,3.883107373,0.445897164,7
12,Melanoma of skin,15200,Chile,2,0,2009,3.068309754,3.317960118,0.3084858985,6
12,Melanoma of skin,15200,Chile,2,0,2010,1.299332316,1.653749049,0.2045524022,3
12,Melanoma of skin,15200,Chile,2,0,2011,1.753105366,2.200341053,0.1988083465,4
12,Melanoma of skin,15200,Chile,2,0,2012,2.091880523,2.744990393,0.2158961877,5
12,Melanoma of skin,15600,China,1,0,2000,0.4696048726,0.5938628289,0.06158196294,37
12,Melanoma of skin,15600,China,1,0,2001,0.2193323134,0.3381252661,0.02847660414,21
12,Melanoma of skin,15600,China,1,0,2002,0.440094143,0.5660163462,0.05889115374,35
12,Melanoma of skin,15600,China,1,0,2003,0.4332899822,0.6215564952,0.053028084,38
12,Melanoma of skin,15600,China,1,0,2004,0.4209826838,0.6233794186,0.05772822745,38
12,Melanoma of skin,15600,China,1,0,2005,0.4824139787,0.7916582965,0.07027944328,48
12,Melanoma of skin,15600,China,1,0,2006,0.4893099951,0.7454992965,0.06605339276,45
12,Melanoma of skin,15600,China,1,0,2007,0.3473410645,0.5812529322,0.04660467007,35
12,Melanoma of skin,15600,China,1,0,2008,0.3164967731,0.5179401087,0.04500792557,31
12,Melanoma of skin,15600,China,1,0,2009,0.3750121555,0.6546198706,0.05214705798,39
12,Melanoma of skin,15600,China,1,0,2010,0.3609824383,0.6234062073,0.04977414832,37
