Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,11200,Belarus,1,0,2000,59.87702117,75.81756865,8.36074499,3484
11,Lung,11200,Belarus,1,0,2001,59.23404758,74.67371782,8.204052067,3416
11,Lung,11200,Belarus,1,0,2002,57.08768889,72.08441837,7.935269429,3278
11,Lung,11200,Belarus,1,0,2003,58.44058917,73.68609457,8.178290189,3310
11,Lung,11200,Belarus,1,0,2004,58.03247437,72.48549392,8.14585515,3230
11,Lung,11200,Belarus,1,0,2005,55.25781018,69.05583729,7.744698022,3053
11,Lung,11200,Belarus,1,0,2006,56.37836132,70.29815344,7.972338365,3087
11,Lung,11200,Belarus,1,0,2007,55.61226381,70.35687524,7.865065011,3075
11,Lung,11200,Belarus,1,0,2008,56.68765356,73.51626764,8.033256953,3142
11,Lung,11200,Belarus,1,0,2009,54.71223916,72.64431402,7.731975766,3097
11,Lung,11200,Belarus,1,0,2010,56.28915923,75.10140453,7.914747038,3195
11,Lung,11200,Belarus,1,0,2011,53.53090107,71.83838603,7.621488144,3047
11,Lung,11200,Belarus,1,0,2012,50.84207659,68.6875341,7.189208286,2907
11,Lung,11200,Belarus,2,0,2000,3.768321774,6.470050577,0.5402442464,323
11,Lung,11200,Belarus,2,0,2001,4.276777557,7.313174089,0.6212858347,363
11,Lung,11200,Belarus,2,0,2002,3.883404387,6.551437097,0.5456122021,323
11,Lung,11200,Belarus,2,0,2003,4.61201089,7.814990259,0.6569571457,381
11,Lung,11200,Belarus,2,0,2004,4.613999488,7.668226631,0.6551351605,371
11,Lung,11200,Belarus,2,0,2005,4.383794837,7.142552223,0.6024235784,343
11,Lung,11200,Belarus,2,0,2006,3.886000688,6.453923283,0.5405525877,308
11,Lung,11200,Belarus,2,0,2007,4.802436637,7.874639114,0.6470856123,374
11,Lung,11200,Belarus,2,0,2008,4.858663403,8.077755575,0.6495304449,377
11,Lung,11200,Belarus,2,0,2009,4.682209047,8.097336427,0.6674619581,377
11,Lung,11200,Belarus,2,0,2010,4.918523932,8.503891984,0.6899269927,395
11,Lung,11200,Belarus,2,0,2011,4.537929647,7.885494837,0.6376244947,365
11,Lung,11200,Belarus,2,0,2012,5.055425177,8.540100214,0.6904890612,394
11,Lung,12400,Canada,1,0,2000,38.30767969,48.57349157,5.891425149,5373
11,Lung,12400,Canada,1,0,2001,37.34712547,47.74939972,5.762747901,5345
11,Lung,12400,Canada,1,0,2002,35.55461968,46.34576812,5.506165267,5234
